iter	Passed	Remaining
0	152	152285
1	155	77346
2	164	54711
3	167	41651
4	169	33725
5	173	28772
6	182	25842
7	185	23007
8	188	20761
9	190	18878
10	192	17310
11	194	16020
12	196	14922
13	199	14036
14	201	13218
15	203	12534
16	206	11945
17	209	11404
18	211	10917
19	213	10481
20	216	10092
21	219	9746
22	221	9420
23	224	9124
24	226	8850
25	229	8606
26	231	8352
27	234	8146
28	237	7962
29	240	7785
30	243	7604
31	246	7452
32	248	7292
33	251	7141
34	253	6987
35	255	6845
36	257	6700
37	259	6573
38	261	6441
39	263	6321
40	264	6193
41	266	6070
42	267	5953
43	268	5842
44	271	5760
45	273	5668
46	275	5588
47	278	5515
48	280	5439
49	282	5365
50	284	5299
51	286	5218
52	288	5156
53	290	5093
54	293	5040
55	295	4983
56	298	4932
57	300	4876
58	303	4845
59	305	4793
60	309	4756
61	311	4717
62	314	4675
63	317	4649
64	320	4615
65	322	4569
66	325	4528
67	326	4477
68	330	4461
69	332	4415
70	334	4376
71	336	4337
72	338	4303
73	341	4276
74	344	4246
75	346	4216
76	348	4181
77	350	4148
78	353	4118
79	355	4090
80	357	4061
81	360	4033
82	362	4004
83	364	3977
84	366	3943
85	368	3919
86	370	3887
87	372	3863
88	375	3847
89	380	3851
90	386	3856
91	391	3865
92	401	3910
93	406	3916
94	409	3901
95	412	3882
96	417	3882
97	422	3891
98	425	3871
99	429	3866
100	431	3842
101	432	3808
102	436	3804
103	440	3795
104	443	3777
105	445	3759
106	449	3751
107	452	3739
108	494	4044
109	499	4042
110	502	4024
111	505	4010
112	508	3988
113	511	3978
114	515	3964
115	517	3945
116	520	3928
117	523	3911
118	525	3888
119	528	3872
120	530	3854
121	533	3838
122	534	3812
123	536	3793
124	539	3776
125	542	3760
126	544	3744
127	546	3722
128	549	3706
129	551	3690
130	554	3675
131	556	3661
132	560	3651
133	563	3640
134	566	3627
135	569	3615
136	572	3604
137	574	3587
138	577	3576
139	580	3566
140	585	3566
141	589	3564
142	593	3554
143	597	3549
144	600	3539
145	604	3536
146	607	3527
147	611	3518
148	614	3507
149	617	3496
150	619	3485
151	622	3475
152	625	3465
153	629	3455
154	631	3444
155	634	3434
156	638	3425
157	641	3416
158	644	3407
159	647	3399
160	650	3389
