iter	Passed	Remaining
0	182	182101
1	187	93549
2	191	63573
3	194	48334
4	197	39281
5	199	33122
6	202	28732
7	205	25477
8	207	22863
9	209	20711
10	211	19052
11	214	17636
12	215	16374
13	218	15393
14	220	14467
15	222	13672
16	224	13000
17	225	12323
18	228	11774
19	230	11272
20	232	10819
21	234	10408
22	235	10022
23	237	9661
24	239	9326
25	240	9017
26	242	8731
27	243	8468
28	245	8213
29	246	7985
30	248	7755
31	249	7541
32	250	7349
33	252	7160
34	253	6975
35	253	6798
36	254	6632
37	255	6475
38	256	6323
39	257	6180
40	258	6047
41	259	5919
42	260	5799
43	261	5691
44	262	5578
45	263	5471
46	264	5367
47	265	5267
48	266	5170
49	267	5079
50	268	4994
51	269	4908
52	270	4826
53	271	4747
54	271	4670
55	272	4596
56	273	4531
57	275	4466
58	275	4401
59	276	4338
60	277	4278
61	278	4218
62	279	4163
63	281	4109
64	281	4053
65	282	4000
66	283	3948
67	284	3897
68	285	3848
69	286	3801
70	287	3756
71	287	3711
72	288	3668
73	289	3626
74	290	3584
75	291	3547
76	292	3510
77	293	3472
78	294	3435
79	295	3399
80	296	3363
81	297	3328
82	297	3290
83	298	3259
84	299	3226
85	300	3194
86	301	3164
87	302	3134
88	303	3104
89	304	3077
90	305	3049
91	306	3023
92	307	2997
93	308	2971
94	309	2944
95	310	2919
96	311	2895
97	311	2871
98	312	2846
99	313	2823
100	314	2800
101	315	2777
102	316	2756
103	317	2734
104	318	2713
105	319	2692
106	319	2670
107	320	2649
108	321	2628
109	322	2608
110	323	2591
111	324	2572
112	325	2554
113	326	2536
114	327	2517
115	328	2501
116	328	2482
117	329	2465
118	331	2451
119	332	2435
120	333	2420
121	334	2404
122	335	2390
123	336	2375
124	337	2359
125	338	2346
126	339	2333
127	340	2321
128	342	2309
129	343	2295
130	344	2282
131	345	2269
132	346	2255
133	346	2242
134	348	2229
135	349	2217
136	350	2205
137	351	2193
138	352	2181
139	353	2169
140	354	2158
141	355	2145
142	356	2134
143	357	2123
144	358	2112
145	359	2101
146	360	2092
147	361	2081
148	362	2069
149	363	2058
150	364	2047
151	364	2035
152	365	2025
153	366	2015
154	367	2004
155	368	1994
156	369	1983
157	370	1973
158	371	1963
159	372	1955
160	373	1943
161	373	1934
162	374	1924
163	375	1914
164	376	1905
165	377	1896
166	378	1887
167	379	1878
168	380	1869
169	381	1860
170	381	1851
171	382	1843
172	383	1833
173	384	1826
174	385	1818
175	386	1810
176	387	1802
177	388	1794
178	389	1786
179	390	1779
180	391	1772
181	392	1765
182	393	1758
183	395	1751
184	395	1744
185	397	1739
186	398	1732
187	399	1726
188	400	1719
189	401	1712
190	402	1706
191	404	1701
192	405	1695
193	406	1689
194	407	1682
195	408	1676
196	409	1670
197	411	1664
198	412	1658
199	413	1652
200	414	1646
201	415	1640
202	416	1635
203	417	1629
204	418	1624
205	419	1618
206	421	1613
207	422	1608
208	423	1603
209	424	1597
210	425	1591
211	426	1585
212	427	1580
213	428	1574
214	429	1569
215	430	1563
216	431	1558
217	432	1553
218	434	1548
219	435	1543
220	436	1538
221	437	1532
222	438	1527
223	439	1523
224	441	1520
225	442	1514
226	443	1509
227	444	1504
228	445	1499
229	446	1494
230	447	1489
231	448	1484
232	449	1478
233	450	1473
234	451	1468
235	452	1464
236	453	1459
237	454	1455
238	455	1450
239	456	1445
240	457	1440
241	458	1436
242	459	1431
243	460	1427
244	461	1422
245	462	1417
246	463	1413
247	464	1409
248	465	1404
249	466	1400
250	467	1395
251	468	1390
252	469	1386
253	470	1382
254	471	1377
255	472	1373
256	473	1369
257	474	1365
258	475	1361
259	476	1357
260	477	1353
261	479	1349
262	480	1345
263	481	1341
264	482	1337
265	483	1333
266	484	1329
267	485	1325
268	486	1321
269	487	1318
270	488	1314
271	489	1311
272	490	1306
273	491	1302
274	492	1299
275	493	1295
276	494	1291
277	496	1288
278	497	1284
279	498	1281
280	499	1277
281	500	1273
282	501	1269
283	502	1266
284	503	1262
285	504	1258
286	505	1255
287	506	1252
288	507	1248
289	508	1245
290	509	1241
291	510	1237
292	511	1233
293	512	1230
294	513	1227
295	514	1224
296	515	1220
297	516	1217
298	517	1213
299	518	1209
300	519	1206
301	520	1203
302	521	1200
303	522	1196
304	523	1193
305	524	1190
306	525	1187
307	526	1183
308	527	1180
309	528	1177
310	529	1173
311	530	1170
312	531	1167
313	532	1164
314	533	1160
315	534	1157
316	535	1153
317	536	1150
318	537	1147
319	538	1144
320	539	1141
321	540	1138
322	541	1134
323	542	1131
324	543	1128
325	544	1125
326	545	1122
327	546	1119
328	547	1116
329	548	1113
330	549	1109
331	550	1106
332	551	1103
333	552	1101
334	553	1098
335	554	1094
336	555	1092
337	556	1089
338	557	1086
339	558	1083
340	559	1080
341	560	1077
342	561	1074
343	561	1071
344	563	1069
345	564	1066
346	565	1063
347	565	1060
348	566	1057
349	567	1054
350	568	1051
351	569	1049
352	570	1046
353	571	1043
354	572	1040
355	573	1037
356	574	1035
357	575	1032
358	576	1029
359	577	1027
360	578	1024
361	579	1021
362	580	1019
363	582	1017
364	584	1016
365	584	1013
366	585	1010
367	587	1008
368	588	1005
369	589	1003
370	590	1000
371	591	997
372	591	995
373	592	992
374	593	989
375	594	987
376	595	984
377	596	982
378	597	979
379	598	977
380	599	974
381	601	972
382	602	969
383	602	967
384	604	964
385	604	962
386	606	960
387	607	957
388	608	955
389	609	952
390	610	950
391	611	947
392	612	945
393	613	943
394	614	940
395	614	938
396	615	935
397	616	932
398	617	930
399	618	928
400	619	925
401	620	923
402	621	920
403	622	918
404	623	916
405	624	913
406	625	911
407	626	909
408	627	906
409	628	904
410	629	902
411	630	900
412	631	897
413	632	895
414	633	893
415	634	890
416	635	888
417	636	886
418	637	884
419	638	881
420	639	879
421	640	877
422	641	874
423	642	872
424	643	870
425	644	868
426	645	865
427	646	863
428	647	861
429	647	858
430	648	856
431	650	854
432	651	852
433	652	850
434	653	848
435	654	846
436	655	844
437	656	842
438	657	839
439	658	837
440	659	835
441	660	833
442	661	831
443	662	829
444	663	827
445	664	825
446	665	823
447	666	821
448	668	819
449	669	817
450	670	815
451	671	813
452	672	811
453	673	809
454	674	807
455	675	805
456	676	803
457	677	801
458	678	799
459	679	797
460	680	795
461	681	793
462	682	791
463	683	789
464	684	787
465	685	785
466	687	784
467	688	782
468	689	780
469	690	778
470	690	776
471	692	774
472	693	772
473	694	770
474	695	768
475	696	766
476	697	764
477	698	762
478	699	760
479	700	758
480	701	756
481	702	754
482	703	752
483	704	750
484	705	748
485	706	746
486	707	744
487	707	742
488	708	740
489	710	739
490	711	737
491	712	735
492	713	733
493	714	731
494	715	729
495	716	727
496	717	726
497	718	724
498	719	722
499	720	720
500	721	718
501	722	716
502	723	715
503	724	713
504	725	711
505	726	709
506	727	707
507	728	705
508	729	703
509	730	701
510	731	700
511	732	698
512	733	696
513	734	694
514	735	692
515	736	690
516	737	688
517	738	686
518	739	684
519	739	683
520	740	681
521	741	679
522	742	677
523	743	675
524	744	673
525	745	672
526	746	670
527	747	668
528	748	666
529	749	664
530	750	663
531	751	661
532	752	659
533	753	657
534	754	655
535	755	654
536	756	652
537	757	650
538	758	648
539	759	646
540	760	645
541	761	643
542	762	641
543	763	639
544	764	637
545	765	636
546	766	634
547	767	632
548	768	630
549	769	629
550	769	627
551	770	625
552	771	623
553	772	622
554	774	620
555	774	618
556	776	617
557	777	615
558	778	613
559	779	612
560	780	610
561	781	608
562	782	607
563	783	605
564	784	603
565	785	602
566	786	600
567	787	598
568	788	597
569	789	595
570	790	593
571	791	592
572	792	590
573	793	588
574	794	587
575	795	585
576	796	583
577	797	582
578	798	580
579	799	578
580	800	576
581	800	575
582	802	573
583	803	572
584	804	570
585	804	568
586	805	566
587	806	565
588	808	563
589	809	562
590	810	560
591	811	559
592	812	557
593	813	555
594	814	554
595	815	552
596	816	551
597	817	549
598	818	548
599	819	546
600	820	544
601	821	543
602	822	541
603	823	539
604	824	538
605	825	536
606	826	535
607	827	533
608	828	531
609	829	530
610	830	528
611	831	526
612	832	525
613	833	523
614	834	522
615	835	520
616	836	518
617	837	517
618	837	515
619	838	514
620	839	512
621	840	510
622	841	509
623	842	507
624	843	506
625	844	504
626	845	502
627	846	501
628	847	499
629	848	498
630	849	496
631	850	495
632	851	493
633	852	492
634	853	490
635	854	489
636	855	487
637	856	485
638	857	484
639	858	482
640	859	481
641	860	479
642	861	478
643	862	476
644	863	475
645	864	473
646	864	471
647	865	470
648	866	468
649	867	467
650	868	465
651	869	464
652	870	462
653	871	461
654	872	459
655	873	458
656	874	456
657	875	454
658	876	453
659	877	452
660	878	450
661	879	449
662	880	447
663	881	446
664	882	444
665	883	443
666	884	441
667	885	440
668	886	438
669	887	437
670	888	435
671	889	434
672	890	432
673	891	431
674	892	429
675	893	428
676	894	426
677	895	425
678	896	423
679	897	422
680	898	420
681	899	419
682	900	417
683	901	416
684	902	414
685	902	413
686	903	411
687	904	410
688	905	408
689	906	407
690	907	405
691	908	404
692	909	402
693	910	401
694	911	399
695	912	398
696	913	397
697	914	395
698	915	394
699	916	392
700	917	391
701	918	389
702	919	388
703	920	386
704	921	385
705	922	383
706	922	382
707	923	381
708	925	379
709	925	378
710	926	376
711	927	375
712	928	373
713	930	372
714	931	371
715	932	369
716	933	368
717	934	366
718	935	365
719	936	364
720	937	362
721	938	361
722	939	359
723	940	358
724	941	357
725	942	355
726	943	354
727	944	352
728	945	351
729	946	350
730	947	348
731	948	347
732	949	345
733	950	344
734	951	342
735	952	341
736	953	340
737	955	339
738	956	337
739	957	336
740	958	334
741	959	333
742	960	332
743	961	330
744	962	329
745	963	328
746	964	326
747	965	325
748	966	323
749	968	322
750	968	321
751	970	319
752	971	318
753	972	317
754	973	315
755	974	314
756	975	313
757	976	311
758	977	310
759	978	308
760	979	307
761	980	306
762	981	304
763	982	303
764	983	302
765	984	300
766	986	299
767	987	298
768	988	296
769	989	295
770	990	294
771	993	293
772	994	292
773	995	290
774	996	289
775	997	288
776	998	286
777	1000	285
778	1001	284
779	1002	282
780	1003	281
781	1004	279
782	1005	278
783	1006	277
784	1007	275
785	1008	274
786	1009	273
787	1010	271
788	1012	270
789	1013	269
790	1014	268
791	1015	266
792	1016	265
793	1017	264
794	1019	262
795	1020	261
796	1021	260
797	1022	258
798	1023	257
799	1024	256
800	1025	254
801	1026	253
802	1028	252
803	1029	250
804	1030	249
805	1031	248
806	1032	246
807	1033	245
808	1035	244
809	1036	243
810	1037	241
811	1038	240
812	1039	239
813	1040	237
814	1041	236
815	1042	235
816	1043	233
817	1044	232
818	1045	231
819	1046	229
820	1047	228
821	1048	226
822	1049	225
823	1050	224
824	1051	222
825	1052	221
826	1053	220
827	1053	218
828	1054	217
829	1055	216
830	1056	214
831	1057	213
832	1058	212
833	1059	210
834	1060	209
835	1061	208
836	1062	206
837	1063	205
838	1065	204
839	1066	203
840	1067	201
841	1068	200
842	1069	199
843	1070	197
844	1071	196
845	1072	195
846	1073	193
847	1074	192
848	1075	191
849	1076	189
850	1077	188
851	1078	187
852	1079	185
853	1079	184
854	1080	183
855	1081	181
856	1082	180
857	1084	179
858	1084	178
859	1085	176
860	1086	175
861	1087	174
862	1088	172
863	1089	171
864	1090	170
865	1091	168
866	1092	167
867	1093	166
868	1094	164
869	1095	163
870	1096	162
871	1097	161
872	1098	159
873	1099	158
874	1100	157
875	1100	155
876	1101	154
877	1102	153
878	1103	151
879	1104	150
880	1105	149
881	1106	148
882	1107	146
883	1108	145
884	1109	144
885	1110	142
886	1111	141
887	1112	140
888	1113	139
889	1114	137
890	1115	136
891	1116	135
892	1117	133
893	1118	132
894	1119	131
895	1120	130
896	1121	128
897	1122	127
898	1123	126
899	1124	124
900	1125	123
901	1126	122
902	1127	121
903	1128	119
904	1129	118
905	1130	117
906	1131	116
907	1132	114
908	1133	113
909	1134	112
910	1135	110
911	1136	109
912	1137	108
913	1138	107
914	1139	105
915	1140	104
916	1141	103
917	1142	102
918	1143	100
919	1144	99
920	1145	98
921	1146	97
922	1148	95
923	1149	94
924	1150	93
925	1151	92
926	1152	90
927	1153	89
928	1154	88
929	1155	86
930	1156	85
931	1157	84
932	1158	83
933	1159	81
934	1160	80
935	1161	79
936	1162	78
937	1163	76
938	1164	75
939	1166	74
940	1166	73
941	1167	71
942	1169	70
943	1170	69
944	1171	68
945	1173	66
946	1174	65
947	1175	64
948	1176	63
949	1177	61
950	1178	60
951	1179	59
952	1181	58
953	1182	56
954	1182	55
955	1183	54
956	1184	53
957	1185	51
958	1186	50
959	1189	49
960	1190	48
961	1191	47
962	1192	45
963	1193	44
964	1194	43
965	1195	42
966	1196	40
967	1197	39
968	1198	38
969	1199	37
970	1200	35
971	1201	34
972	1202	33
973	1203	32
974	1204	30
975	1204	29
976	1205	28
977	1206	27
978	1207	25
979	1208	24
980	1209	23
981	1210	22
982	1211	20
983	1212	19
984	1213	18
985	1214	17
986	1215	16
987	1216	14
988	1217	13
989	1218	12
990	1219	11
991	1220	9
992	1221	8
993	1223	7
994	1224	6
995	1225	4
996	1226	3
997	1227	2
998	1228	1
999	1230	0
